Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy
0.57,0.9513674369033238,0.9051,1.1090536506409416,5.0,0.0,5.0,13.5,4538.0
63.44,104.47548229130123,10915.1264,122.22831095944998,384.0,0.0,384.0,6.0,54575682.0
6.82,12.077565979948112,145.86759999999998,13.870111751532502,68.0,0.0,68.0,5.5,732076.0
20.01,33.63108532295679,1131.0499,39.13374502906667,141.0,0.0,141.0,6.0,5674654.0
0.79,1.373280743329637,1.8859,1.5842979517754858,9.0,0.0,9.0,1.0,9430.0
78.62,117.75880264336932,13867.1356,141.59180767261927,459.0,0.0,459.0,5.5,69768128.0
78.48,236.92334118866376,56132.6696,249.5832125764872,930.0,0.0,930.0,5.5,293495525.99999994
53.91,100.13811412244593,10027.6419,113.72743732274986,557.0,0.0,557.0,5.5,50152830.00000001
70.89,136.40057881108862,18605.1179,153.72218447576134,539.0,0.0,539.0,5.0,93037294.0
8.73,13.90816666566805,193.4371,16.42102311063473,67.0,0.0,67.0,6.0,968198.0
102.93,259.50935455200835,67345.10509999999,279.1768077760042,903.0,0.0,903.0,5.5,339363629.99999994
71.2,122.89320567061468,15102.740000000002,142.02879989635906,422.0,0.0,422.0,5.5,75545452.0
64.1,121.99979508179511,14883.95,137.8142227783475,432.0,0.0,432.0,5.5,74529262.00000001
0.98,1.7376996288196642,3.019599999999999,1.994993734326,11.0,0.0,11.0,1.5,15147.999999999998
85.91,237.7871777451425,56542.74189999999,252.83051635433569,957.0,0.0,957.0,5.5,282737689.99999994
20.04,31.543278206299355,994.9784,37.37084425056517,104.0,0.0,104.0,5.0,4994494.0
0.76,1.2893409169028958,1.6624,1.4966629547095769,8.0,0.0,8.0,25.0,8824.0
93.1,133.5682971367083,17840.49,162.81308301239184,417.0,0.0,417.0,5.5,89210138.00000001
76.1,241.92062747934497,58525.59,253.6075708649093,1020.0,0.0,1020.0,11.5,292627968.0
8.83,18.45971559910932,340.7611,20.462893246068603,92.0,0.0,92.0,6.0,1704026.0000000002
19.26,34.18380318220897,1168.5323999999998,39.23620776782588,148.0,0.0,148.0,5.5,5849624.000000001
61.14,214.6130480655825,46058.76040000001,223.15210059508732,1023.0,0.0,1023.0,6.5,239122204.0
102.36,280.8575980813053,78880.99040000001,298.92902167571486,1007.0,0.0,1007.0,6.0,395596920.0
0.74,1.082774214691133,1.1724,1.3114877048604,5.0,0.0,5.0,12.5,5893.999999999999
87.25,146.3541851126916,21419.5475,170.38811578276227,534.0,0.0,534.0,5.0,107146722.0
24.71,43.46867722855159,1889.5259,50.00109998790027,185.0,0.0,185.0,5.5,9447629.999999998
1.06,1.963771880845634,3.8564,2.23159136044214,9.0,0.0,9.0,12.5,19354.0
88.08,248.088801843211,61548.05360000002,263.26059332911944,972.0,0.0,972.0,5.5,307889325.99999994
15.61,29.57326326261612,874.5778999999999,33.44024521441193,135.0,0.0,135.0,6.0,4372890.000000001
0.78,1.5138031576133006,2.2916,1.70293863659264,8.0,0.0,8.0,21.5,11508.0
23.06,35.588992680321816,1266.5764,42.40683907107437,124.0,0.0,124.0,5.0,6340081.999999998
61.38,99.9546677249242,9990.9356,117.29637675563556,371.0,0.0,371.0,5.0,50009790.0
48.86,100.01650063864462,10003.300399999998,111.31307200863698,401.0,0.0,401.0,5.5,50028053.99999999
65.79,106.53133764296776,11348.9259,125.2088255675294,391.0,0.0,391.0,5.0,56747150.0
55.76,183.0177106183989,33495.4824,191.32344341454865,775.0,0.0,775.0,5.5,167484374.00000003
73.79,227.56723380135372,51786.845900000015,239.231707764669,1023.0,0.0,1023.0,5.5,259050874.0
